Date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,d_return
5/1/2000,0.004889985,-0.038466281,0.019048195,-0.004796172,0.006108754,-0.026443849,-0.025256905,-0.032357526,-0.020494991,0.001185537,0.017657904,0.005878912,0.004761914,-0.017305747,-0.033778845,51.43551658,1.625,1.1875,1.689588926,47.2475,-9.507722352,50.996875,50.8110119,51.00758929,13.75899198,0.351543943,0.648456057,0.790143436,0.004901961
5/2/2000,0.00365186,0.004889985,-0.038466281,0.019048195,0.01339034,0.01339034,-0.019162263,-0.017975319,-0.025075941,0.006108754,0.001185537,0.017657904,0.005878912,-0.002453989,-0.017305747,52.140399,3.9375,0.8125,1.626939717,47.5001,19.02301027,50.9375,50.85297619,51.40566288,13.13783751,0.32304038,0.67695962,0.714088541,0.003658537
5/3/2000,0.006056954,0.00365186,0.004889985,-0.038466281,0.01426897,0.03728634,0.03728634,0.004733737,0.00592068,0.01339034,0.006108754,0.001185537,0.017657904,-0.020569388,-0.002453989,53.3555529,3.625,1.8125,1.640194023,47.742596,56.21469567,50.890625,50.93035714,51.73284632,13.19731238,0.275534442,0.724465558,0.684349433,0.006075334
5/4/2000,0.009615459,0.006056954,0.00365186,0.004889985,0.016807118,0.005970167,0.028987537,0.028987537,-0.003565066,0.01426897,0.01339034,0.006108754,0.001185537,-0.004854378,-0.020569388,55.31066116,3.4375,1.125,1.60339445,47.97539216,61.27003449,50.928125,51.05982143,52.04413149,13.25253904,0.199524941,0.800475059,0.687516495,0.009661836
5/5/2000,0.038714512,0.009615459,0.006056954,0.00365186,0.011574203,0.050748352,0.0399114,0.06292877,0.06292877,0.016807118,0.01426897,0.01339034,0.006108754,-0.002331003,-0.004854378,62.32562657,4.5625,2.0625,1.636187703,48.19887647,160.1568264,51.046875,51.38214286,52.51282738,14.14126577,0,1,0.752969121,0.039473684
5/8/2000,0.014848931,0.038714512,0.009615459,0.006056954,0.00911168,0.026423134,0.065597282,0.054760331,0.077777701,0.011574203,0.016807118,0.01426897,0.01339034,-0.00573725,-0.002331003,64.67787163,5.375,0.8125,1.577352867,48.56569389,174.563876,51.24375,51.77053571,53.12964286,15.2941441,0,1,0.836368435,0.014959724
5/9/2000,-0.035779927,0.014848931,0.038714512,0.009615459,0.006920443,-0.004587164,0.01272429,0.051898438,0.041061487,0.00911168,0.011574203,0.016807118,0.01426897,-0.025792755,-0.00573725,55.74048945,0.9375,2.5,1.643256234,49.09043837,93.02857418,51.346875,51.95565476,53.5730303,15.23569535,0.29245283,0.70754717,0.892551427,-0.035147392
5/10/2000,-0.007075501,-0.035779927,0.014848931,0.038714512,0.01516064,0,-0.011507607,0.005803847,0.044977995,0.006920443,0.00911168,0.011574203,0.016807118,-0.009445171,-0.025792755,54.17997551,0.8125,1.3125,1.619630789,49.5732033,78.14515183,51.378125,52.0952381,53.81334145,15.18142151,0.381443299,0.618556701,0.870458456,-0.007050529
5/11/2000,0.034887259,-0.007075501,-0.035779927,0.014848931,0.012507269,0.039175516,0.024014876,0.012507269,0.029818723,0.01516064,0.006920443,0.00911168,0.011574203,-0.00573725,-0.009445171,60.18239925,1.6875,2.5,1.682514304,50.01734704,132.0730328,51.50625,52.41041667,54.07385011,15.73360416,0.1,0.9,0.806639435,0.035502959
5/12/2000,-0.009761777,0.034887259,-0.007075501,-0.035779927,0.027844026,0,0.026668247,0.011507607,0,0.012507269,0.01516064,0.006920443,0.00911168,0,-0.00573725,57.86926082,3.15625,1.5625,1.673941854,50.54686234,88.17730744,51.6390625,52.66279762,54.30600649,15.47653345,0.222891566,0.777108434,0.760874764,-0.009714286
5/15/2000,0.015459798,-0.009761777,0.034887259,-0.007075501,0.012550079,0.036955707,0.00911168,0.035779927,0.020619287,0.027844026,0.012507269,0.01516064,0.006920443,-0.003450262,0,60.46809963,3.75,0.96875,1.623571007,51.0234261,109.7770327,51.9078125,52.9828869,54.61321699,15.47781671,0.060240964,0.939759036,0.793181831,0.015579919
