Date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,peak
4/26/2000,-0.037426387,0.043092144,-0.063294888,-0.037937803,0,0,0.011049836,-0.077927164,-0.096807575,0.010929014,0.002773889,0,0.01730573,-0.03352273,-0.023628618,36.86605983,-8.300567,2.257172,3.693828138,55.71403232,-122.492039,59.2544053,56.90015075,52.34071395,27.91113931,0.945205413,0.054794587,0.139823604,0
4/27/2000,0.038785988,-0.037426387,0.043092144,-0.063294888,0.087968793,0.043017366,0.043017366,0.054067202,-0.034909798,0,0.010929014,0.002773889,0,0,-0.03352273,40.67788323,-3.640602,4.659969,3.7628382,55.33712,-91.62806636,58.61365975,56.36064834,51.80264244,27.77476725,0.817351649,0.182648351,0.122063641,0
4/28/2000,0.021506224,0.038785988,-0.037426387,0.043092144,0.002656081,0.080042746,0.035091319,0.035091319,0.046141155,0.087968793,0,0.010929014,0.002773889,-0.028322865,0,42.80303663,-5.824959,1.674678,3.6136839,55.33712,-66.4541529,58.1403817,55.99312103,51.69248488,27.64813605,0.735849091,0.264150909,0.131836162,0
5/1/2000,0.001328904,0.021506224,0.038785988,-0.037426387,0.006635724,0.00530507,0.082691736,0.037740309,0.037740309,0.002656081,0.087968793,0,0.010929014,-0.016107749,-0.028322865,42.94061971,1.820298,1.237805,3.443978264,55.045872,-55.89012346,57.64526015,55.6776023,51.89479482,27.47530774,0.617449629,0.382550371,0.194052069,1
5/2/2000,-0.053182286,0.001328904,0.021506224,0.038785988,0.006825946,-0.021535171,-0.022865825,0.05452084,0.009569413,0.006635724,0.002656081,0.087968793,0,-0.02216161,-0.016107749,39.00048144,-3.640602,2.839669,3.400813317,55.045872,-86.41287426,57.0117955,55.13879333,51.9564546,27.7224381,0.879194712,0.120805288,0.233161116,0
5/3/2000,-0.050261837,-0.053182286,0.001328904,0.021506224,0.005747162,-0.044825412,-0.073186529,-0.074517183,0.002869482,0.006825946,0.006635724,0.002656081,0.087968793,-0.035194269,-0.02216161,35.82360442,-8.95588,3.203727,3.386735722,54.25950222,-124.42524,56.45114295,54.41760766,51.58634867,28.57535245,0.948571503,0.051428497,0.239071151,0
5/4/2000,-0.023846076,-0.050261837,-0.053182286,0.001328904,0.029675808,-0.014514003,-0.065086576,-0.093447694,-0.094778348,0.005747162,0.006825946,0.006635724,0.002656081,-0.006042314,-0.035194269,34.44239577,-8.44619,1.74749,3.269646742,53.16440958,-128.28803,55.83952225,53.63886614,50.86002534,29.49665036,0.98101257,0.01898743,0.168167993,0
5/5/2000,0.041364793,-0.023846076,-0.050261837,-0.053182286,0.029327555,0.041303766,-0.002886045,-0.053458618,-0.081819736,0.029675808,0.005747162,0.006825946,0.006635724,0,-0.006042314,38.88331834,-4.29591,2.111545,3.186925189,52.04054187,-103.4155952,55.14780835,53.11253936,50.23007235,30.09751635,0.801282157,0.198717843,0.112793238,1
5/8/2000,-0.042874206,0.041364793,-0.023846076,-0.050261837,0.00449441,-0.004474321,0.00750189,-0.036687921,-0.087260495,0.029327555,0.029675808,0.005747162,0.006825946,-0.015128861,0,36.15179771,-3.058101,2.54842,3.141317676,51.16392506,-133.2541722,54.25950195,52.45099056,49.57910826,30.88377175,0.962499749,0.037500251,0.079506723,0
5/9/2000,-0.067160303,-0.042874206,0.041364793,-0.023846076,0.00624027,-0.035144926,-0.044113658,-0.032137447,-0.076327258,0.00449441,0.029327555,0.029675808,0.005747162,-0.03990946,-0.015128861,32.50548652,-8.44619,3.494976,3.166578985,50.34810408,-172.6900983,53.44036705,51.5758598,48.61490767,32.14828065,0.975247591,0.024752409,0.087256644,0
