dates,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,distance
9/28/2000,-0.021327823,0.015357656,-0.063421826,0.035250949,0.005955944,-0.009456335,0.009546612,-0.044141893,-0.025792755,0.007034027,0.007168489,0.016901811,0.004618946,-0.009603915,-0.01064469,44.38414296,-3.8125,1.5,2.202346964,57.26,-108.9359084,54.86875,54.95803571,54.63488366,8.922462615,0.885416667,0.114583333,0.320719169,0
10/2/2000,0.03066278,-0.021327823,0.015357656,-0.063421826,0.00464038,0.031748698,0.016336419,0.035339366,-0.018349139,0.005955944,0.007034027,0.007168489,0.016901811,-0.004662013,-0.009603915,48.00924359,-3.1875,1.8125,2.174500752,57.0296,-43.8538206,54.878125,54.85744048,53.92674242,8.915871936,0.614583333,0.385416667,0.281054594,1
10/5/2000,-0.023502844,0.03066278,-0.021327823,0.015357656,0.005955944,-0.021152375,0.005955944,-0.009456335,0.009546612,0.00464038,0.005955944,0.007034027,0.007168489,-0.004790428,-0.004662013,45.54973353,-2.6875,1.75,2.14417927,56.808416,-105.0724638,54.928125,54.63690476,53.30642587,9.369059781,0.822916667,0.177083333,0.229166667,2
10/12/2000,0.07555079,-0.023502844,0.03066278,-0.021327823,0.019824438,0.091283402,0.064175083,0.091283402,0.075871123,0.005955944,0.00464038,0.005955944,0.007034027,-0.004459316,-0.004790428,53.9362508,-0.625,4.75,2.330309322,51.5,72.30559345,55.059375,54.80446429,53.20462392,9.244161048,0.117021277,0.882978723,0.324960599,4
10/13/2000,-0.038206894,0.07555079,-0.023502844,0.03066278,0.002234638,-0.003342621,0.068116342,0.041008024,0.068116342,0.019824438,0.005955944,0.00464038,0.005955944,-0.024916351,-0.004459316,49.69031835,-2.1875,2.1875,2.320108656,51.5,-1.483821558,55.096875,54.75714286,53.26608766,8.655213285,0.478723404,0.521276596,0.411544523,0
10/16/2000,0.004571437,-0.038206894,0.07555079,-0.023502844,0.009132484,-0.015783868,-0.021361127,0.050097837,0.022989518,0.002234638,0.019824438,0.005955944,0.00464038,-0.006904515,-0.024916351,50.18713893,-2.125,0.875,2.216886609,51.7325,-17.4929863,55.078125,54.73005952,53.44715909,8.088214697,0.436170213,0.563829787,0.554989165,0
10/18/2000,-0.032447806,0.004571437,-0.038206894,0.07555079,0,-0.006904515,-0.031820867,-0.037398126,0.034060838,0.009132484,0.002234638,0.019824438,0.005955944,-0.021004273,-0.006904515,46.70986177,-0.9375,1.8125,2.188001852,51.9557,-74.70570122,55.09375,54.53809524,53.52955087,7.930757048,0.734042553,0.265957447,0.544498621,1
10/20/2000,0.026730238,-0.032447806,0.004571437,-0.038206894,0.016166634,0.008050647,0.001146132,-0.023770219,-0.029347479,0,0.009132484,0.002234638,0.019824438,-0.004667453,-0.021004273,49.78747085,-1.4375,1.5,2.138858862,52.169972,-35.06261181,54.996875,54.48154762,53.63877165,7.623230476,0.483870968,0.516129032,0.518340578,1
10/25/2000,-0.048159629,0.026730238,-0.032447806,0.004571437,0,-0.014068227,-0.022184214,-0.029088729,-0.054005081,0.016166634,0,0.009132484,0.002234638,-0.02268754,-0.004667453,44.81851875,-0.5625,2.75,2.182511801,57.3125,-109.7006527,54.81875,54.19017857,53.55270292,7.89793442,0.924731183,0.075268817,0.394926155,2
10/26/2000,0.001202646,-0.048159629,0.026730238,-0.032447806,0.006006024,-0.01426897,-0.028337197,-0.036453184,-0.043357699,0,0.016166634,0,0.009132484,-0.003621006,-0.02268754,44.96279735,-1.3125,0.5,2.062332386,57.3125,-108.8050314,54.55625,53.92172619,53.32618236,8.173478209,0.913978495,0.086021505,0.320076769,0
10/27/2000,-0.029270382,0.001202646,-0.048159629,0.026730238,0,0.001204094,-0.0190709,-0.033139127,-0.041255114,0.006006024,0,0.016166634,0,-0.035521187,-0.003621006,42.11664427,-1.6875,1.875,2.048951501,57.0875,-138.9212262,54.28125,53.53541667,52.86698864,8.934443405,0.947826087,0.052173913,0.194248765,0
10/30/2000,0.009852296,-0.029270382,0.001202646,-0.048159629,0.025975486,-0.014545711,-0.013341617,-0.033616611,-0.047684838,0,0.006006024,0,0.016166634,-0.001253919,-0.035521187,43.40271241,-2.8125,1.375,2.000812109,56.66975,-132.3142251,53.98125,53.22291667,52.30116342,9.739429472,0.841666667,0.158333333,0.131934705,0
10/31/2000,-0.001226242,0.009852296,-0.029270382,0.001202646,0.001212856,0.033274789,-0.007246409,-0.006042314,-0.026317308,0.025975486,0,0.006006024,0,-0.018371613,-0.001253919,43.27328542,-1.625,1,1.929325529,56.12117,-105.2179251,53.765625,52.93303571,51.73497294,10.30269452,0.85,0.15,0.096722248,0
11/1/2000,0.018237588,-0.001226242,0.009852296,-0.029270382,0.021819047,0.012062872,0.044124805,0.003603608,0.004807702,0.001212856,0.025975486,0,0.006006024,0,-0.018371613,45.88027615,-4.8125,1.1875,1.876337992,55.6164764,-73.3394232,53.49375,52.75297619,51.29781926,10.54427702,0.725,0.275,0.137818815,0
11/6/2000,-0.055741983,0.018237588,-0.001226242,0.009852296,0,-0.027330894,-0.037087069,-0.005025136,-0.045546334,0.021819047,0.001212856,0.025975486,0,-0.019072415,0,39.94881494,-5.5,3.1875,1.969992421,55.15215829,-160.7142857,53.109375,52.33095238,50.73373647,11.56489435,0.956521739,0.043478261,0.156924316,2
11/10/2000,0.032584336,-0.055741983,0.018237588,-0.001226242,0.001226242,0.027330894,0,-0.009756175,0.022305758,0,0.021819047,0.001212856,0.025975486,-0.009864445,-0.019072415,44.41978166,-4.125,1.9375,1.967671534,54.50569246,-88.91288697,52.796875,52.10029762,50.29146916,11.83151139,0.768115942,0.231884058,0.178019324,3
